idxYear, Jan, Feb, Marc, P
0,1850 -0.734 -0.360 -0.627 -0.605 -0.532 -0.352 -0.176 -0.223 -0.394 -0.516 -0.277 -0.322 -0.426
2,1851 -0.266 -0.467 -0.641 -0.528 -0.222 -0.207 -0.136 -0.148 -0.146 -0.045 -0.108 -0.248 -0.264
4,1852 -0.346 -0.496 -0.567 -0.575 -0.113 -0.077  0.009 -0.149 -0.006 -0.158 -0.275  0.064 -0.224
6,1853 -0.204 -0.399 -0.273 -0.401 -0.270 -0.124 -0.072 -0.040 -0.266 -0.373 -0.401 -0.326 -0.262
8,1854 -0.403 -0.392 -0.247 -0.327 -0.277 -0.302 -0.162 -0.233 -0.216 -0.099 -0.412 -0.454 -0.294
10,1855 -0.170 -0.313 -0.345 -0.211 -0.368 -0.333 -0.315 -0.202 -0.259 -0.200 -0.374 -0.408 -0.291
12,1856 -0.083 -0.347 -0.371 -0.314 -0.293 -0.225 -0.223 -0.249 -0.402 -0.446 -0.561 -0.423 -0.328
14,1857 -0.494 -0.442 -0.488 -0.675 -0.654 -0.291 -0.404 -0.356 -0.368 -0.467 -0.662 -0.289 -0.466
16,1858 -0.336 -0.488 -0.566 -0.430 -0.523 -0.360 -0.341 -0.288 -0.280 -0.292 -0.404 -0.455 -0.397
18,1859 -0.405 -0.351 -0.322 -0.189 -0.170 -0.240 -0.290 -0.266 -0.401 -0.247 -0.310 -0.311 -0.292
20,1860 -0.390 -0.478 -0.789 -0.310 -0.371 -0.213 -0.211 -0.137 -0.177 -0.391 -0.622 -0.797 -0.407
22,1861 -0.905 -0.681 -0.422 -0.396 -0.697 -0.272 -0.349 -0.098 -0.334 -0.516 -0.488 -0.408 -0.464
24,1862 -0.830 -0.797 -0.538 -0.533 -0.345 -0.275 -0.356 -0.500 -0.399 -0.501 -0.685 -0.898 -0.555
26,1863 -0.087 -0.284 -0.414 -0.336 -0.391 -0.418 -0.357 -0.335 -0.405 -0.561 -0.500 -0.506 -0.383
28,1864 -0.825 -0.605 -0.531 -0.557 -0.346 -0.116 -0.287 -0.344 -0.526 -0.672 -0.492 -0.627 -0.494
30,1865 -0.230 -0.513 -0.717 -0.545 -0.495 -0.251 -0.297 -0.247 -0.233 -0.329 -0.338 -0.513 -0.392
32,1866 -0.230 -0.472 -0.748 -0.549 -0.599 -0.130 -0.053 -0.291 -0.462 -0.460 -0.363 -0.443 -0.400
34,1867 -0.501 -0.408 -0.712 -0.489 -0.616 -0.350 -0.259 -0.325 -0.194 -0.157 -0.291 -0.492 -0.399
36,1868 -0.707 -0.711 -0.332 -0.384 -0.282 -0.298 -0.047 -0.195 -0.375 -0.243 -0.451 -0.335 -0.363
38,1869 -0.304  0.137 -0.651 -0.412 -0.311 -0.396 -0.432 -0.178 -0.169 -0.291 -0.291 -0.525 -0.319
